 Td        ID        Tj        Df        Dd        Db
 96       398        95         0         1         1
 97      2318        75         6        16        22
 97       396        95         0         2         2
 97       399        95         0         2         2
 97       400        95         0         2         2
 97       403        96         0         1         1
 97       402        96         0         1         1
 98      2127        31         6        61        67
 98      2379        90         0         8         8
 98       401        96         0         2         2
 98       404        96         0         2         2
 98       405        96         0         2         2
 98       407        97         0         1         1
 98       406        97         0         1         1
 99      2332        78         5        16        21
 99      2284        68        12        19        31
 99       409        97         0         2         2
 99       416        99         0         0         0
 99       410        97         0         2         2
 99       408        97         0         2         2
100      2133        32         6        62        68
100      2105        27         5        68        73
100       412        98         0         2         2
100       413        98         0         2         2
100       415        98         0         2         2
100       418        99         0         1         1
100       411        98         0         2         2
101      2162        39         8        54        62
101      2201        48         8        45        53
101       414        98         0         3         3
101       417        99         0         2         2
101       425       100         0         1         1
102       420        99         1         2         3
102       430       101         0         1         1
102       428       101         0         1         1
103       422       100         0         3         3
103       423       100         0         3         3
103       424       100         0         3         3
103       432       102         0         1         1
103       419        99         0         4         4
103       421       100         0         3         3
104      2337        79         3        22        25
104      2143        34         7        63        70
104       427       101         0         3         3
105      2145        35         6        64        70
105      2392        94         0        11        11
105      2146        35         6        64        70
105      2149        35         6        64        70
105       439       103         1         1         2
105       440       103         1         1         2
105       442       104         0         1         1
105       443       104         0         1         1
105       426       101         0         4         4
106      2116        29         6        71        77
106      2179        42         8        56        64
106      2390        94         0        12        12
106      2315        75         5        26        31
106      2210        51         8        47        55
106       441       104         1         1         2
106       448       105         0         1         1
106       447       105         0         1         1
106       436       103         1         2         3
106       437       103         1         2         3
106       438       103         1         2         3
106       429       101         0         5         5
106       431       102         0         4         4
107      2354        83         0        24        24
107      2213        51         8        48        56
107       433       102         0         5         5
107       434       102         0         5         5
107       435       102         0         5         5
107       453       106         0         1         1
107       444       104         1         2         3
107       445       104         1         2         3
108      2245        60         9        39        48
108      2296        71         2        35        37
108      2410        98         0        10        10
108       446       105         1         2         3
108       449       105         1         2         3
108       450       105         1         2         3
108       459       107         0         1         1
108       460       107         0         1         1
108       451       106         0         2         2
109      2181        43         9        57        66
110      2182        43         9        58        67
110      2184        43         9        58        67
110      2025         8         0       102       102
110       452       106         1         3         4
110       466       109         0         1         1
110       474       110         0         0         0
110       470       109         0         1         1
110       454       106         1         3         4
110       455       106         1         3         4
110       469       109         0         1         1
111       456       107         0         4         4
111       457       107         0         4         4
111       461       108         0         3         3
111       468       109         0         2         2
111       475       110         0         1         1
111       463       108         0         3         3
111       465       108         0         3         3
111       458       107         1         3         4
112      2123        30         6        76        82
112      2413        98         0        14        14
112      2316        75         4        33        37
112       462       108         0         4         4
112       472       110         1         1         2
112       464       108         0         4         4
113       482       112         0         1         1
113       471       110         1         2         3
113       473       110         1         2         3
113       467       109         1         3         4
114      2128        31         6        77        83
114      2382        91         2        21        23
114      2129        31         6        77        83
115       476       111         1         3         4
115       478       111         1         3         4
115       479       111         1         3         4
115       480       111         1         3         4
115       489       114         0         1         1
116      2225        55         8        53        61
116      2032        11         1       104       105
116       477       111         1         4         5
116       483       112         1         3         4
117       495       115         0         2         2
117       491       115         0         2         2
117       484       112         1         4         5
117       485       112         1         4         5
117       481       112         1         4         5
118      2196        47         8        63        71
118      2305        73        11        34        45
118      2160        39         8        71        79
118      2161        39         8        71        79
119      2202        48         8        63        71
119      2203        48         8        63        71
120      2169        40         8        72        80
120      2112        28         5        87        92
120      2377        90         3        27        30
120      2040        13        98         9       107
120       486       114         0         6         6
120       488       114         0         6         6
120       508       118         0         2         2
120       513       119         0         1         1
120       511       119         0         1         1
121      2170        41         8        72        80
121      2350        83         7        31        38
121       490       114         0         7         7
121       492       115         1         5         6
121       493       115         1         5         6
121       494       115         1         5         6
121       512       119         0         2         2
121       515       119         0         2         2
121       487       114         0         7         7
121       501       117         1         3         4
122      2174        41         8        73        81
122       503       117         1         4         5
122       504       117         1         4         5
122       505       117         1         4         5
122       496       116         1         5         6
122       498       116         1         5         6
122       499       116         1         5         6
122       514       119         2         1         3
122       500       116         1         5         6
123       502       117         1         5         6
123       497       116         1         6         7
123       518       122         0         1         1
123       506       118         1         4         5
123       507       118         1         4         5
124       510       118         2         4         6
124       523       123         0         1         1
124       521       123         0         1         1
124       509       118         1         5         6
124       525       123         1         0         1
125      2425       101         3        21        24
125       517       122         1         2         3
125       519       122         1         2         3
125       520       122         1         2         3
125       522       123         0         2         2
125       516       122         1         2         3
125       524       123         0         2         2
126      2212        51         8        67        75
126      2508       118         1         7         8
126       528       125         0         1         1
126       527       125         0         1         1
127       526       125         0         2         2
127       535       126         0         1         1
127       531       126         0         1         1
127       532       126         0         1         1
127       534       126         0         1         1
127       529       125         0         2         2
128       530       125         0         3         3
128       533       126         0         2         2
129       538       128         0         1         1
129       539       128         0         1         1
129       536       128         0         1         1
129       537       128         0         1         1
130      2439       103         2        25        27
130      2042        13         0       117       117
130      2369        88        19        23        42
130      2120        30         6        94       100
130       542       129         0         1         1
130       540       128         0         2         2
131      2446       105        10        16        26
131      2401        96         9        26        35
131      2185        44         8        79        87
131      2188        44         8        79        87
131       541       129         0         2         2
131       544       129         0         2         2
131       546       130         0         1         1
131       550       130         0         1         1
131       549       130         0         1         1
131       543       129         0         2         2
131       545       129         0         2         2
132       548       130         0         2         2
132       554       131         0         1         1
132       547       130         0         2         2
132       552       131         0         1         1
132       559       132         0         0         0
132       551       131         0         1         1
132       553       131         0         1         1
132       555       131         0         1         1
132       557       132         0         0         0
133      2256        62        10        61        71
133      2447       105         4        24        28
133       558       132         0         1         1
133       556       132         0         1         1
133       560       132         0         1         1
134      2044        13         0       121       121
134       563       133         0         1         1
134       561       133         0         1         1
134       564       133         0         1         1
134       565       133         0         1         1
134       562       133         0         1         1
135      2194        46         8        81        89
135       566       134         0         1         1
135       568       134         0         1         1
135       569       134         0         1         1
135       567       134         0         1         1
136      2227        55         8        73        81
136       573       135         0         1         1
136       574       135         0         1         1
136       570       134         0         2         2
136       572       135         0         1         1
136       579       136         0         0         0
136       571       135         0         1         1
137       577       136         0         1         1
138       575       135         0         3         3
138       576       136         0         2         2
138       578       136         0         2         2
138       580       136         0         2         2
139       581       138         0         1         1
139       582       138         0         1         1
139       583       138         0         1         1
140      2431       102         0        38        38
140       584       138         0         2         2
140       589       139         0         1         1
140       585       138         0         2         2
141       587       139         0         2         2
141       588       139         0         2         2
141       595       140         0         1         1
141       592       140         0         1         1
141       591       140         0         1         1
141       586       139         0         2         2
141       590       139         0         2         2
141       593       140         0         1         1
142      2435       103         9        30        39
142       594       140         0         2         2
143      2427       101         9        33        42
143       597       141         0         2         2
143       601       142         0         1         1
143       598       141         0         2         2
144       596       141         0         3         3
144       599       141         0         3         3
144       600       141         0         3         3
144       610       143         0         1         1
144       609       143         0         1         1
144       608       143         0         1         1
145      2371        89         2        54        56
145      2045        14       117        14       131
145      2048        14         1       130       131
145       602       142         0         3         3
145       603       142         0         3         3
145       604       142         0         3         3
145       605       142         0         3         3
145       606       143         0         2         2
146      2344        80        14        52        66
146       607       143         0         3         3
146       612       145         0         1         1
146       614       145         0         1         1
146       615       145         0         1         1
146       616       146         0         0         0
147      2211        51         8        88        96
147      2356        84        24        39        63
147      2287        69        11        67        78
147       611       145         0         2         2
147       613       145         0         2         2
147       619       146         0         1         1
147       618       146         0         1         1
148       620       146         0         2         2
148       617       146         0         2         2
148       622       147         0         1         1
148       625       147         0         1         1
149       624       147         0         2         2
150      2248        60         9        81        90
150       621       147         0         3         3
150       623       147         0         3         3
150       629       148         0         2         2
151       626       148         0         3         3
151       628       148         0         3         3
151       630       148         0         3         3
152       643       151         0         1         1
152       644       151         0         1         1
152       627       148         0         4         4
152       631       149         0         3         3
153      2297        71        11        71        82
153      2366        88         2        63        65
153       650       152         0         1         1
154      2186        44         8       102       110
154       634       149         1         4         5
154       635       149         1         4         5
154       632       149         0         5         5
154       655       153         0         1         1
154       654       153         0         1         1
154       651       153         0         1         1
154       636       150         0         4         4
154       637       150         0         4         4
155       638       150         0         5         5
155       645       151         1         3         4
155       639       150         1         4         5
155       640       150         1         4         5
155       633       149         0         6         6
155       646       152         1         2         3
155       647       152         1         2         3
156       641       151         1         4         5
156       660       155         0         1         1
156       642       151         1         4         5
156       652       153         1         2         3
157      2312        74         8        75        83
158      2222        54         8        96       104
158      2190        46         8       104       112
158      2191        46         8       104       112
158       648       152         1         5         6
158       670       157         0         1         1
158       649       152         1         5         6
158       653       153         1         4         5
159       680       159         0         0         0
160      2314        74        13        73        86
160      2226        55         8        97       105
160       679       159         0         1         1
160       678       159         0         1         1
161      2433       102         7        52        59
161      2603       142         0        19        19
161      2362        86         0        75        75
161       666       157         1         3         4
161       667       157         1         3         4
161       685       160         0         1         1
161       656       155         1         5         6
162      2199        47         8       107       115
162       657       155         1         6         7
162       658       155         1         6         7
162       659       155         1         6         7
162       661       156         0         6         6
162       662       156         0         6         6
162       688       161         0         1         1
162       689       161         0         1         1
162       695       162         0         0         0
162       663       156         0         6         6
162       664       156         0         6         6
162       665       156         0         6         6
163       668       157         1         5         6
163       669       157         1         5         6
164      2266        65        11        88        99
164      2267        65        11        88        99
164      2510       119         5        40        45
164       676       159         1         4         5
164       677       159         1         4         5
164       671       158         1         5         6
164       672       158         1         5         6
164       700       163         0         1         1
165      2231        57         8       100       108
165       673       158         1         6         7
165       674       158         1         6         7
165       675       158         1         6         7
165       681       160         1         4         5
165       682       160         1         4         5
165       683       160         1         4         5
165       703       164         0         1         1
165       702       164         0         1         1
165       698       163         0         2         2
166       694       162         2         2         4
166       699       163         1         2         3
166       686       161         2         3         5
166       687       161         2         3         5
166       690       161         2         3         5
166       684       160         1         5         6
167      2272        66        11        90       101
167      2273        66        11        90       101
167       696       163         1         3         4
167       697       163         1         3         4
167       691       162         1         4         5
167       692       162         1         4         5
167       693       162         1         4         5
167       704       164         1         2         3
168      2688       161         0         7         7
168      2473       110         8        50        58
168      2206        50         8       110       118
168       714       167         0         1         1
168       705       164         2         2         4
169      2055        16         0       153       153
169       701       164         1         4         5
169       720       168         0         1         1
169       716       168         0         1         1
169       717       168         0         1         1
169       709       166         1         2         3
170      2240        59         8       103       111
170       707       166         1         3         4
170       708       166         1         3         4
170       710       166         1         3         4
171      2480       112        20        39        59
171       731       171         0         0         0
172       706       166         0         6         6
172       711       167         1         4         5
172       732       171         0         1         1
172       733       171         0         1         1
172       734       171         0         1         1
172       721       169         0         3         3
172       722       169         0         3         3
173      2286        69        11        93       104
173      2288        69        11        93       104
173       718       168         1         4         5
173       719       168         1         4         5
173       712       167         1         5         6
173       713       167         1         5         6
173       715       167         1         5         6
174      2289        69        11        94       105
174      2529       125         0        49        49
174      2649       152         5        17        22
174       726       170         1         3         4
174       727       170         1         3         4
174       723       169         1         4         5
174       724       169         1         4         5
174       725       169         1         4         5
174       735       171         1         2         3
174       728       170         1         3         4
175      2523       123        10        42        52
175      2539       128         3        44        47
175       729       170         1         4         5
175       730       170         1         4         5
175       738       174         0         1         1
175       737       174         0         1         1
176      2293        70        11        95       106
176      2719       168         0         8         8
176       736       174         0         2         2
176       740       174         0         2         2
176       742       175         0         1         1
176       739       174         0         2         2
176       743       175         0         1         1
176       741       175         0         1         1
176       745       175         0         1         1
177       744       175         0         2         2
177       746       176         0         1         1
177       748       176         0         1         1
177       749       176         0         1         1
177       750       176         0         1         1
178      2515       122         1        55        56
178       747       176         0         2         2
178       759       178         0         0         0
179       752       177         0         2         2
179       765       179         0         0         0
179       764       179         0         0         0
179       753       177         0         2         2
180      2723       169         0        11        11
180       760       178         0         2         2
180       751       177         0         3         3
180       754       177         0         3         3
180       755       177         0         3         3
180       757       178         0         2         2
180       758       178         0         2         2
181      2189        44         8       129       137
181       756       178         0         3         3
181       770       180         0         1         1
181       774       181         0         0         0
181       761       179         0         2         2
182      2300        72        11        99       110
182      2301        72        11        99       110
182      2464       108         7        67        74
182      2604       142         0        40        40
182       763       179         0         3         3
182       767       180         0         2         2
182       769       180         0         2         2
182       775       181         0         1         1
182       772       181         0         1         1
182       780       182         0         0         0
182       762       179         0         3         3
182       766       180         0         2         2
182       768       180         0         2         2
183      2303        72        12        99       111
183       771       181         0         2         2
183       778       182         0         1         1
183       776       182         0         1         1
183       773       181         0         2         2
184      2259        62        10       112       122
184      2306        73        12        99       111
185       777       182         0         3         3
185       784       184         0         1         1
186      2421       100         0        86        86
186      2311        74        13        99       112
186       779       182         0         4         4
186       781       184         0         2         2
186       782       184         0         2         2
186       787       185         0         1         1
186       792       186         0         0         0
186       783       184         0         2         2
186       785       184         0         2         2
186       786       185         0         1         1
187       794       186         0         1         1
187       788       185         0         2         2
187       789       185         0         2         2
187       790       185         0         2         2
188      2367        88        12        88       100
188       795       186         0         2         2
189       791       186         0         3         3
189       793       186         0         3         3
189       796       187         0         2         2
189       804       188         0         1         1
190      2198        47         8       135       143
190      2747       176         0        14        14
190      2567       134         5        51        56
190       797       187         0         3         3
190       798       187         0         3         3
190       799       187         0         3         3
190       809       189         0         1         1
190       810       189         0         1         1
190       802       188         0         2         2
190       812       190         0         0         0
191       800       187         0         4         4
191       801       188         0         3         3
191       803       188         0         3         3
191       806       189         0         2         2
191       811       190         0         1         1
192      2323        76        13       103       116
192       805       188         0         4         4
192       814       190         0         2         2
192       820       191         0         1         1
