 Td        ID        Tj        Df        Dd        Db
274      2259        87        27       160       187
274       268        89        28       157       185
274       269        89        28       157       185
275       270        89        29       157       186
276       367       119        38       119       157
276       368       119        38       119       157
277      2355       116        38       123       161
277      2356       116        38       123       161
277      2357       116        38       123       161
278       372       120        39       119       158
279      2260        88        28       163       191
280      2261        88        28       164       192
280      2262        88        28       164       192
280      2203        67        21       192       213
282      2267        89        29       164       193
283      2268        89        29       165       194
284       275        92        29       163       192
285      2207        68        22       195       217
285       381       122        40       123       163
285       382       122        40       123       163
285       383       122        40       123       163
285       384       122        40       123       163
285       385       122        40       123       163
287       277        94        29       164       193
288      2370       120        41       127       168
288      2371       120        41       127       168
288      2372       120        41       127       168
288      2373       120        41       127       168
289      2374       120        41       128       169
290       386       125        40       125       165
290       387       125        40       125       165
293       281        95        30       168       198
294       282        95        30       169       199
294       283        95        30       169       199
294       284        95        30       169       199
295      2380       122        43       130       173
295      2381       122        43       130       173
295      2382       122        43       130       173
298      2213        69        23       206       229
298       396       127        41       130       171
298       397       127        41       130       171
299      2275        94        29       176       205
299       398       127        42       130       172
299       399       127        42       130       172
299       292        97        31       171       202
300      2282        95        29       176       205
301       294        97        31       173       204
301       295        97        31       173       204
302       401       130        42       130       172
303      2388       125        44       134       178
303      2285        96        29       178       207
304      2286        96        29       179       208
304      2390       126        44       134       178
304      2391       126        44       134       178
304      2392       126        44       134       178
304      2393       126        44       134       178
304       298        98        32       174       206
305      2288        96        30       179       209
305      2395       127        44       134       178
308      2396       127        45       136       181
308      2397       127        45       136       181
308      2399       127        45       136       181
308       302        99        32       177       209
309      2292        97        30       182       212
309       303        99        33       177       210
309       411       133        43       133       176
309       412       133        43       133       176
309       413       133        44       132       176
309       414       133        44       132       176
309       415       133        44       132       176
310      2520       174        56        80       136
311       306       100        33       178       211
311       307       100        33       178       211
311       308       100        34       177       211
313      2298        98        31       184       215
313      2400       130        45       138       183
313      2401       130        45       138       183
313      2402       130        45       138       183
313      2403       130        45       138       183
314      2404       130        45       139       184
314      2406       131        46       137       183
314      2408       131        46       137       183
315      2301        99        32       184       216
315      2302        99        32       184       216
317      2305       100        31       186       217
317      2306       100        32       185       217
318      2529       179        57        82       139
318       236        77        25       216       241
319      2410       133        46       140       186
319      2411       133        46       140       186
321      2412       133        47       141       188
321      2225        75        25       221       246
322       322       104        34       184       218
323       324       104        35       184       219
323       325       104        35       184       219
325      2314       101        33       191       224
325      2229        75        26       224       250
325       326       106        34       185       219
325       327       106        34       185       219
326      2231        76        26       224       250
326      2232        76        26       224       250
326      2233        76        26       224       250
326       246        80        26       220       246
326       422       142        44       140       184
327      2234        76        26       225       251
328      2417       136        47       145       192
328      2551       184        59        85       144
330      2418       136        48       146       194
330      2419       136        48       146       194
330      2315       103        33       194       227
330      2317       103        33       194       227
330       424       142        45       143       188
330       425       142        45       143       188
331      2318       103        33       195       228
331       335       108        35       188       223
332      2319       103        33       196       229
333      2559       185        61        87       148
334      2320       104        33       197       230
334      2322       104        34       196       230
334       338       109        35       190       225
334       339       109        35       190       225
334       340       109        35       190       225
335      2323       104        34       197       231
335      2324       104        34       197       231
335      2238        77        27       231       258
335      2239        77        27       231       258
337       432       146        46       145       191
337       433       146        46       145       191
337       434       146        46       145       191
337       435       146        46       145       191
339      2420       142        47       150       197
340      2421       142        47       151       198
340      2422       142        47       151       198
340      2424       142        47       151       198
340       436       147        46       147       193
340       437       147        46       147       193
340       438       147        46       147       193
341      2330       108        35       198       233
341      2331       108        35       198       233
342       440       147        47       148       195
343       441       148        47       148       195
344      2429       144        47       153       200
344      2333       108        36       200       236
344       442       148        47       149       196
344       443       148        47       149       196
345       347       111        37       197       234
346      2334       108        36       202       238
346      2335       109        36       201       237
346      2337       109        36       201       237
348      2338       109        36       203       239
348      2339       109        36       203       239
348      2430       146        47       155       202
348      2431       146        47       155       202
348      2432       146        47       155       202
348       350       111        38       199       237
349      2433       146        47       156       203
