 Td        ID        Tj        Df        Dd        Db
 70      2465        68         0         2         2
 70      2471        69         0         1         1
 70      2473        69         0         1         1
 70      2476        69         0         1         1
 70      2482        70         0         0         0
 70      2436        65         2         3         5
 70       459        67         1         2         3
 71      2439        65         2         4         6
 71      2440        65         2         4         6
 71      2422        63         2         6         8
 71      2484        70         0         1         1
 71      2481        70         0         1         1
 71       433        65         1         5         6
 71       476        69         0         2         2
 71       446        66         1         4         5
 71       435        65         0         6         6
 72      2441        66         2         4         6
 72      2442        66         2         4         6
 72      2443        66         2         4         6
 72      2444        66         2         4         6
 72      2493        71         0         1         1
 72      2487        71         0         1         1
 72      2483        70         0         2         2
 72      2503        72         0         0         0
 72      2445        66         2         4         6
 72      2446        66         2         4         6
 72      2447        66         2         4         6
 72       486        70         0         2         2
 72       479        70         0         2         2
 72       470        69         0         3         3
 73      2409        62         2         9        11
 73      2450        67         2         4         6
 73       469        69         1         3         4
 73       503        72         0         1         1
 73       500        72         0         1         1
 73       387        59         0        14        14
 73        35         5         3        65        68
 73        10         3         0        70        70
 74      2433        65         2         7         9
 74      2478        70         2         2         4
 74      2502        72         0         2         2
 74      2490        71         0         3         3
 74      2499        72         1         1         2
 74      2495        72         1         1         2
 74      2496        72         1         1         2
 74      2504        74         0         0         0
 74      2435        65         2         7         9
 74      2437        65         2         7         9
 74      2438        65         2         7         9
 74       472        69         1         4         5
 75      2459        68         3         4         7
 75      2518        75         0         0         0
 75      2462        68         3         4         7
 75      2464        68         3         4         7
 75      2466        68         3         4         7
 75       508        74         0         1         1
 76      2467        68         4         4         8
 76      2468        69         3         4         7
 76      2469        69         3         4         7
 76      2470        69         3         4         7
 76      2474        69         3         4         7
 76      2448        66         3         7        10
 76      2449        66         3         7        10
 76      2408        62         2        12        14
 76      2452        67         2         7         9
 76      2453        67         2         7         9
 76       512        74         1         1         2
 77      2454        67         3         7        10
 77      2455        67         3         7        10
 77        13         3         0        74        74
 78      2456        67         3         8        11
 78      2457        67         3         8        11
 78      2458        67         3         8        11
 78      2486        71         3         4         7
 78      2489        71         3         4         7
 78      2525        76         0         2         2
 78      2526        76         0         2         2
 78      2530        76         0         2         2
 78       521        75         1         2         3
 78       519        75         1         2         3
 78       517        75         1         2         3
 79      2491        71         4         4         8
 79      2492        71         4         4         8
 79      2494        71         4         4         8
 79      2461        68         3         8        11
 79      2463        68         3         8        11
 79      2497        72         3         4         7
 79      2533        78         0         1         1
 79      2536        78         0         1         1
 79      2534        78         0         1         1
 79      2498        72         3         4         7
 79       522        75         1         3         4
 79        21         4         1        74        75
 80      2500        72         4         4         8
 80      2501        72         4         4         8
 80      2475        69         4         7        11
 80      2477        70         3         7        10
 80      2479        70         3         7        10
 80      2480        70         3         7        10
 80      2485        70         3         7        10
 80      2548        79         0         1         1
 80      2546        79         0         1         1
 80      2550        80         0         0         0
 80      2551        80         0         0         0
 80      2557        80         0         0         0
 80      2505        74         3         3         6
 80      2506        74         3         3         6
 80      2507        74         3         3         6
 80       526        76         1         3         4
 80       513        74         4         2         6
